RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05
Los Angeles,CA,Los Angeles,6,37,161000,161100,160800,160500,160300,160100,160200,160500,160800,161400,162300,162900,163000,163000,162900,163000,163200,163800,164600,165400,166500,168100,169900,171500,172600,173500,174600,175600,176500,178100,179900,181600,182900,184000,185100,186300,187400,188800,190300,191800,193100,194200,195500,197200,199100,201200,203400,205500,207300,209000,210700,212400,214200,216000,217600,219300,221300,223600,225900,227900,229700,231600,233600,235100,236800,238900,241200,243600,246200,249200,252400,255600,259200,263200,267500,272100,277200,281900,286700,291800,297100,302100,306700,311300,316300,321100,325600,330900,337300,343900,350400,357400,364600,372200,380200,389100,398800,409200,419800,429900,438400,445100,451000,456300,461800,467700,473800,480400,487500,494900,503200,512600,522500,531900,540500,547800,553100,556300,559100,561600,563400,565400,567500,568500,568100,566900,565200,563100,560700,558700,557100,555400,553100,549900,545500,540800,536200,531500,526800,521600,514300,505900,497100,487300,476400,466000,456000,445700,435400,426800,419800,413300,408200,405200,402700,399700,397000,394200,391700,390200,389700,389600,390000,391000,392800,394100,395100,395800,396500,396800,395800,393800,392100,390100,387400,385100,383900,382700,380800,378600,376100,373400,370600,368000,365900,364400,363300,362600,361600,360600,360200,360700,361700,363400,366100,369000,371800,374600,377700,381500,386100,390800,396000,402200,409000,415900,423900,431900,438700,444700,449900,454400,458500,462400,465400,468600,472300,475500,477000,478000,479400,480700,481900,483100,484000,485200,487800,490700,492800,494500
Cook,IL,Chicago,17,31,126100,126000,125900,125700,125600,125600,125600,125700,126000,126400,126500,126600,126700,126900,126900,126800,127000,127600,128200,128500,128800,129600,130400,130700,130700,130900,131300,131900,132400,132900,133600,134400,134900,135400,136200,136900,137700,138600,139600,140400,141100,141900,143000,144200,145300,146400,147900,149500,150800,151900,152700,153600,154800,156000,157100,158400,160000,161600,162800,164000,165400,166900,168000,169000,170400,172000,173600,175000,176400,178200,179900,181300,182200,182700,183000,183500,184500,185900,187400,189000,190400,191600,193000,194700,196700,199800,204300,208000,210200,211000,210800,210600,210900,211400,212300,213400,214700,215900,217200,218900,220800,222600,224500,226500,228400,230100,231600,233100,235000,236600,238000,239800,241500,243100,244900,246500,247800,249000,250400,251700,252800,253300,253500,253700,253700,253600,254100,254800,255000,255200,255400,255000,254300,253500,252400,251400,250500,249900,249400,249000,248100,246600,244600,242200,240100,238100,235600,232600,230300,228400,226200,223500,221500,220300,219000,217400,215900,214200,212600,211200,210100,209300,208700,208300,207800,206800,205300,203400,202000,201100,199800,198300,197000,195300,192600,189700,187100,184300,183000,182600,181000,178300,176000,173800,171800,169900,168000,166200,164800,163600,162300,161400,161200,161500,161900,162000,161600,161400,161400,161800,162300,163000,163700,164700,165600,166700,168800,171500,173400,174600,176600,178500,179900,181600,183400,184000,183700,183100,182600,182700,183400,184200,185000,185700,185900,185600,185200,184800,185700,187200
Maricopa,AZ,Phoenix,4,13,106400,106500,106900,107200,107600,108000,108200,108500,108900,109500,110300,111100,111800,112300,112600,112800,113100,113500,114000,114400,114900,115500,116100,116500,116700,117300,118400,119200,119300,119600,120100,120600,121200,121900,122700,123300,124100,124900,125600,126100,126800,127600,128300,129100,130000,130800,131600,132600,133300,133500,133500,133700,134200,134900,135200,135400,136000,136900,137600,138300,138900,139300,139500,139900,140300,140400,140700,141400,142100,142800,143700,144500,145200,145700,146200,146800,147500,148200,149000,149800,150700,151500,152100,152500,153200,153900,154600,155200,155800,156600,157400,158400,159400,160600,162000,163400,164500,166000,167800,170300,173500,177300,181400,186200,191100,196100,201600,208500,216900,226200,236100,245900,254700,262400,269000,274000,277100,278900,279900,280200,280000,279600,278900,277700,276300,274500,272700,271200,269200,266900,264600,262400,260400,258500,256700,255000,253300,251800,250200,248000,244900,241000,236400,231600,227200,223200,219100,215000,210800,206700,202200,197400,194300,192700,190500,187000,183600,179800,176100,172900,170300,168000,165800,164200,163100,162100,161000,159700,158100,156300,153900,151000,147900,144900,142600,140700,138900,138100,139200,140600,140700,139900,139300,138600,138000,138100,139000,140600,142700,144500,146500,148600,150800,153200,156100,159500,163000,166600,169800,172200,173700,175000,176200,178300,181700,185800,190000,193900,197400,198800,199100,199700,200400,199900,199300,199100,199100,199200,199400,199700,200100,201200,202600,204200,205400,206300,207000,207800,208500,209200
San Diego,CA,San Diego,6,73,163600,163600,163500,163200,162900,162600,162300,162000,162100,162900,163900,164400,164800,165300,165900,166600,167600,168800,169800,171400,173300,175500,177700,179700,181100,182500,183600,184800,186400,188000,189700,191800,193600,195100,196700,198600,200500,202700,204700,206500,208400,210400,212600,214900,217300,220200,223700,227200,230400,233600,236900,239900,242700,245700,248800,251600,254200,257000,260200,263400,265900,268000,270300,273100,275800,278100,280700,283700,287000,290600,294300,298300,302400,307000,312900,319500,325700,331900,338300,344400,350000,354900,359200,363200,367400,371200,374400,378500,384100,390900,398600,407000,415700,424700,433700,443100,454300,467200,480200,492000,501900,509500,515100,519100,522200,525100,527700,530200,532200,533400,534400,535600,536800,537900,538500,538200,537500,537400,537300,536800,536500,536000,533400,529400,525500,521900,518600,516400,514600,513300,513000,511900,508600,504300,500100,496100,491600,486000,480600,475500,469100,461200,452000,442200,433300,425900,419000,412200,405300,398800,392400,385700,380500,376800,374100,371400,368600,366000,364800,364900,365800,367700,370000,372500,374800,376300,377400,378800,380300,381200,380700,379200,377500,375400,372800,370200,367200,364200,361600,359500,357300,354600,351900,349900,348900,347900,347100,347000,347500,348200,349200,350200,351500,353600,356500,359400,362600,366700,370900,374500,378400,383500,389200,396000,403800,412000,419900,426900,432400,436800,441300,445700,450000,452800,453800,454800,456800,458200,458200,458200,458300,459100,460800,463500,466400,469400,472600,475300,476700,477400
Orange,CA,Los Angeles,6,59,205600,206100,206900,207700,209000,209900,210200,210400,210600,211500,212500,212300,211600,211800,212900,213900,215200,216800,218600,220400,222600,225300,227100,232300,,,,240100,245700,247300,249000,250800,253400,256700,260400,262800,263500,264700,266300,266400,266400,267700,270400,273500,276800,280100,283000,285300,289000,293600,296700,298000,299900,303000,306700,310100,313100,316800,320800,324800,328800,331800,332900,335200,338900,341900,343700,347200,352000,355300,357100,359600,363600,369000,375100,381300,388200,396000,402400,407900,414400,421700,428400,434900,440500,445300,449600,453500,458500,466400,478300,490100,498700,507300,519300,532800,547200,563100,580300,596400,608600,616100,620500,623300,625900,628800,633100,638400,644700,651800,658700,665900,673900,682600,691800,700700,707300,712700,716900,719400,720800,721300,718700,714600,711200,708100,704800,702300,699900,697300,694600,692100,688800,684600,681900,679500,673300,663600,654900,647800,641400,633900,623800,611200,599000,588300,578500,570500,565000,560400,553700,545800,540400,537200,534200,532000,530200,528100,527600,528100,529700,532100,533400,534100,534800,535200,535300,535100,534700,533100,529400,523700,519900,518000,517200,516100,514500,511300,507700,504700,501900,499100,496200,493900,491500,489100,487000,486200,486200,486200,486500,487500,488000,488100,490400,495300,500000,503700,507200,512400,519400,527500,535600,544800,555400,567300,578800,587500,593600,599100,605900,612800,617100,619700,621700,624300,626300,626900,625700,624300,623100,622900,624500,621400,614100,611600,615300,617400,618700,620200
Kings,NY,New York,36,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360600,363400,362700,359600,359300,363200,361100,354800,354700,361300,365600,368600,371500,375100,386200,403700,411600,408600,405600,406400,411500,421500,429500,436600,444400,451900,457300,460800,466000,474000,478600,478500,479000,480500,481100,482900,486200,490100,492800,494000,496300,499500,498500,496200,496600,500300,504200,507300,506700,505300,504700,505200,506900,510400,511700,510300,507400,504300,498000,491000,487600,486600,482900,477600,473200,469500,465200,461600,460400,461200,463400,466500,469700,472700,475400,476900,478000,480200,481600,481100,480600,481300,482500,483400,483300,482100,482400,483700,483200,481600,481400,482500,485300,487400,487600,487300,487700,488200,489300,491600,494500,497200,499100,501000,503800,507700,511700,514300,515400,516400,518400,521300,524900,528600,532400,537500,543400,549800,556300,561200,564500,570600,577700,585100,595400,607700,616100,621400,625500,628300,630500,633600,637500,640600,639400,634300,632400,633700
Miami-Dade,FL,Miami-Fort Lauderdale,12,86,99200,99200,99200,99200,99100,99200,99200,99300,99800,100400,100900,101400,101800,101900,102500,103100,103700,104100,104200,104400,104600,105000,105600,105600,106000,106900,107000,106700,107000,107600,108000,108400,108600,108700,108800,109700,110500,110800,110800,111200,111600,111900,112400,113000,113800,114900,115700,116000,116300,117200,118100,119100,119800,120700,121700,122700,123200,123900,125300,126700,128000,129600,131200,132700,134100,135500,137000,138700,140500,142500,144300,145700,146800,148200,149900,151800,153900,156000,158000,160300,162400,164200,166200,168700,171000,172900,174700,176800,178800,181100,183400,185800,188500,191500,194500,197500,200600,204200,208300,212600,217200,221800,226500,231400,236300,241200,246600,252900,259500,266000,272300,278600,285000,290900,296500,301200,305200,308400,311900,315600,319600,323000,325600,327700,328600,328900,329600,330600,331100,331700,332100,331800,330800,329200,327200,325100,322900,320200,316500,312200,307900,303700,298000,291000,283000,274700,266300,258000,249400,240500,231900,223800,216300,209300,202900,196200,189800,185200,181800,178600,176500,175700,175100,174000,173200,172300,171200,170300,169900,169500,168800,167800,166700,165000,163400,162300,161500,160600,160000,159800,159400,158400,157400,156800,156500,156700,156900,157200,157400,158100,159600,161600,163500,165200,166900,168500,170200,171500,172500,173700,175600,177500,179100,180900,183400,186200,188800,191600,193500,195500,198900,202800,206000,209000,211700,214500,217100,219300,221300,222900,224300,225800,227500,229600,231700,233200,234300,235300,236600,237800
Dallas,TX,Dallas-Fort Worth,48,113,,,,,,,,,,,79200,79200,79300,79400,79600,79800,80200,80700,81300,81800,82300,82700,83200,83700,83800,83900,84100,84300,84600,84700,84800,85300,85900,86600,87300,88300,89200,90200,91300,92400,92900,93300,93800,94700,95400,95700,95600,95500,95600,96100,96400,96700,97100,97700,98600,99300,100000,100400,100500,100800,101200,101600,101900,102300,103000,103700,104100,104500,104800,105300,105800,106300,106800,107500,108300,108800,109400,110100,110700,111300,112100,112700,113100,113300,113300,113000,112800,112700,112900,113000,113100,113200,113700,114600,116100,117900,119700,121100,122000,122600,123000,123400,123800,124000,124300,124600,125000,125400,125800,126200,126500,126600,126500,126500,126500,126400,126300,126500,126800,126900,126900,127100,127600,128200,128800,129000,129100,129200,129300,129300,129400,129400,129400,129700,130000,130200,130300,130600,131000,131200,130700,129300,127500,125900,124200,122300,120700,119500,118600,117700,116800,116000,115200,114700,114000,113200,112200,111000,110300,110000,109600,109100,108600,108300,108200,108300,108400,108400,108400,108500,108300,107900,107300,106900,106500,106500,106100,105400,104900,104900,104600,104100,103700,103200,102700,102100,101400,100600,100200,100000,100000,99800,99800,100400,101200,101500,101900,102600,103300,103800,104500,105100,105600,106500,108000,109300,110300,111600,113100,114400,115000,115000,115700,116800,117200,117600,118500,119400,120200,121000,121700,122100,122900,124200,125500,126900,128700,130400,131900,133000
Queens,NY,New York,36,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343200,347200,349800,351600,354700,359700,358400,354000,355600,363900,370900,376700,381700,386900,393500,401600,409500,418100,420900,420300,424200,433300,440900,449300,457200,464000,471100,478500,485300,492600,494900,493200,493800,498700,502600,506100,508500,509900,511000,512500,513800,514800,513300,509800,507400,506900,505700,504500,503400,502700,502100,500400,497400,494100,489300,482400,475500,470500,465400,460400,455200,451100,447800,444500,440900,438100,435600,433000,430900,429800,429700,430300,431500,432400,432800,432600,432400,432900,434500,436500,438700,440300,441000,441100,441200,441700,441900,441800,442000,441500,439800,438300,437400,436200,434300,433100,432600,432000,431100,430500,430500,430700,430700,431300,432300,433100,434200,435200,435900,436900,438600,440400,442300,444300,447300,451000,454200,457100,460300,463600,466600,470000,474100,479500,484700,487900,488400,488200,491000,496000,500500,504300,507400,507200,505700,505000,505200,506400,508200
Riverside,CA,Riverside,6,65,123700,123300,122600,122000,121600,121200,121200,121200,121500,122300,123400,124200,124600,125100,125800,126600,127400,127900,128300,128800,129600,130900,132200,133200,134000,134600,135200,135600,136200,137000,138100,139000,139700,140400,140800,141300,142100,143500,145400,147300,148600,149900,151200,152600,153800,155300,157000,158600,159900,161400,162800,164400,166000,167100,168000,169200,170600,171800,173200,175000,177100,179000,180900,182700,184500,186000,187000,188000,189800,192200,194700,197200,199900,202600,204800,206900,209600,212900,215900,219100,222800,226400,229800,233000,236100,239000,242800,246700,250500,254800,261100,268000,274500,280900,287800,295100,303300,312500,321100,329000,337500,346200,353700,359700,363900,367100,370500,374000,377500,381100,385100,389900,394800,398900,403400,408200,412400,415700,418600,420800,421800,422200,422700,422500,422000,420800,418100,414300,410800,408100,405700,403000,399600,395500,391200,386700,381400,375400,368800,362000,355100,348000,340700,332900,324800,316600,307600,299100,290900,282800,274500,266600,258800,251700,244800,238900,234000,229600,225800,223100,220400,218200,217300,217300,217700,218400,218900,219000,218700,218100,216900,215300,213900,213200,212700,212400,212100,211500,210700,209800,208800,207700,206500,205000,203600,202200,201000,200300,200600,201100,201400,201900,203000,204500,206300,208000,209900,211900,213900,216000,218700,221800,226200,230900,235000,239300,244700,251300,257700,263500,268900,273400,276900,279700,282100,284300,287000,289800,291700,292700,293700,294900,295800,296600,297300,298000,299100,300300,301600,302700
