"","outcome","purpose_","dti","borrower_score","payment_inc_ratio"
"32109","paid off","debt_consolidation",21.23,0.4,5.11135
"16982","default","credit_card",15.49,0.4,5.43165
"25335","paid off","debt_consolidation",27.3,0.7,9.23003
"34580","paid off","major_purchase",21.11,0.4,2.33482
"14424","default","debt_consolidation",16.46,0.45,12.1032
"35621","paid off","debt_consolidation",12.12,0.5,3.89391
"9920","default","debt_consolidation",29.79,0.4,7.0039
"42095","paid off","debt_consolidation",7.94,0.4,10.0407
"25219","paid off","debt_consolidation",10.81,0.55,3.54972
"26196","paid off","debt_consolidation",16.37,0.45,7.50984
"19798","default","other",11.42,0.4,1.82061
"35333","paid off","debt_consolidation",7.22,0.6,11.1794
"33036","paid off","debt_consolidation",12.95,0.45,3.16523
"6729","default","credit_card",14.79,0.5,2.42371
"40734","paid off","home_improvement",16.75,0.75,3.904
"33148","paid off","debt_consolidation",25.71,0.75,9.10638
"6707","default","debt_consolidation",22.37,0.3,8.25
"44331","paid off","debt_consolidation",17.73,0.65,7.08316
"29681","paid off","debt_consolidation",21.78,0.45,8.94878
"9141","default","credit_card",8.18,0.7,8.39775
"18112","default","home_improvement",11.52,0.6,11.4713
"18492","default","debt_consolidation",21.7,0.45,9.32833
"38079","paid off","other",18.67,0.6,2.40435
"22712","default","debt_consolidation",33.32,0.25,15.5251
"9911","default","home_improvement",23.37,0.45,9.09314
"5042","default","debt_consolidation",21.63,0.55,10.2228
"5968","default","debt_consolidation",25,0.35,12.835
"4550","default","home_improvement",16.57,0.4,3.82205
"30075","paid off","debt_consolidation",18.62,0.55,10.7362
"42738","paid off","debt_consolidation",14.25,0.4,8.2005
"17209","default","credit_card",25.74,0.55,13.8554
"17292","default","debt_consolidation",21.16,0.4,10.4125
"6062","default","other",10,0.5,3.59956
"457","default","small_business",14.19,0.6,6.82133
"1461","default","other",15.4,0.45,8.22563
"7195","default","debt_consolidation",13.76,0.5,9.88155
"42207","paid off","credit_card",14.76,0.65,2.84045
"953","default","debt_consolidation",18.62,0.5,7.03965
"11388","default","credit_card",6.82,0.4,10.6259
"14956","default","credit_card",13.74,0.65,5.15085
"34666","paid off","debt_consolidation",8.52,0.45,10.1452
"35707","paid off","debt_consolidation",10.91,0.55,8.15486
"17656","default","debt_consolidation",15.42,0.3,10.3016
"14227","default","debt_consolidation",20.62,0.45,4.5407
"41294","paid off","debt_consolidation",12.74,0.3,5.83543
"30323","paid off","home_improvement",7.41,0.55,5.45952
"39802","paid off","debt_consolidation",4.8,0.2,5.08357
"27950","paid off","other",11.47,0.25,3.94074
"38596","paid off","debt_consolidation",10.43,0.8,3.46604
"22035","default","home_improvement",13.38,0.45,8.50271
"17634","default","other",19.35,0.3,2.98882
"3441","default","other",10.1,0.4,6.69395
"4647","default","other",20.37,0.35,3.37517
"1263","default","debt_consolidation",16.94,0.35,6.67834
"37283","paid off","small_business",4.9,0.55,2.54547
"20048","default","debt_consolidation",12.71,0.5,5.19924
"31673","paid off","home_improvement",0.62,0.65,4.12045
"31412","paid off","small_business",13.15,0.55,5.72613
"37980","paid off","credit_card",14.92,0.45,5.0533
