sector,sector_label,sub_sector,symbol
information_technology,Technology,data_processing_&_outsourced_services,ADS
information_technology,Technology,systems_software,CA
information_technology,Technology,systems_software,MSFT
information_technology,Technology,systems_software,RHT
information_technology,Technology,it_consulting_&_services,CTSH
information_technology,Technology,it_consulting_&_services,CSC
information_technology,Technology,it_consulting_&_services,EMC
information_technology,Technology,it_consulting_&_services,IBM
information_technology,Technology,it_consulting_&_services,XRX
information_technology,Technology,semiconductors,ALTR
information_technology,Technology,semiconductors,ADI
information_technology,Technology,semiconductors,AVGO
information_technology,Technology,semiconductors,BRCM
information_technology,Technology,semiconductors,FSLR
information_technology,Technology,semiconductors,INTC
information_technology,Technology,semiconductors,LLTC
information_technology,Technology,semiconductors,MCHP
information_technology,Technology,semiconductors,MU
information_technology,Technology,semiconductors,NVDA
information_technology,Technology,semiconductors,QRVO
information_technology,Technology,semiconductors,QCOM
information_technology,Technology,semiconductors,SWKS
information_technology,Technology,semiconductors,TXN
information_technology,Technology,semiconductors,XLNX
information_technology,Technology,computer_hardware,AAPL
information_technology,Technology,computer_hardware,HPQ
information_technology,Technology,home_entertainment_software,EA
information_technology,Technology,computer_storage_&_peripherals,SNDK
information_technology,Technology,computer_storage_&_peripherals,STX
information_technology,Technology,computer_storage_&_peripherals,WDC
information_technology,Technology,electronic_equipment_&_instruments,TEL
information_technology,Technology,telecommunications_equipment,HRS
information_technology,Technology,telecommunications_equipment,MSI
information_technology,Technology,it_consulting_&_other_services,ACN
information_technology,Technology,semiconductor_equipment,AMAT
information_technology,Technology,semiconductor_equipment,KLAC
information_technology,Technology,semiconductor_equipment,LRCX
information_technology,Technology,application_software,ADBE
information_technology,Technology,application_software,ADSK
information_technology,Technology,application_software,ORCL
information_technology,Technology,application_software,SYMC
information_technology,Technology,application_software,TDC
information_technology,Technology,internet_software_&_services,AKAM
information_technology,Technology,internet_software_&_services,ADP
information_technology,Technology,internet_software_&_services,CTXS
information_technology,Technology,internet_software_&_services,EBAY
information_technology,Technology,internet_software_&_services,EQIX
information_technology,Technology,internet_software_&_services,FB
information_technology,Technology,internet_software_&_services,FIS
information_technology,Technology,internet_software_&_services,FISV
information_technology,Technology,internet_software_&_services,GOOGL
information_technology,Technology,internet_software_&_services,GOOG
information_technology,Technology,internet_software_&_services,INTU
information_technology,Technology,internet_software_&_services,MA
information_technology,Technology,internet_software_&_services,NTAP
information_technology,Technology,internet_software_&_services,NFLX
information_technology,Technology,internet_software_&_services,PAYX
information_technology,Technology,internet_software_&_services,CRM
information_technology,Technology,internet_software_&_services,TSS
information_technology,Technology,internet_software_&_services,VRSN
information_technology,Technology,internet_software_&_services,V
information_technology,Technology,internet_software_&_services,WU
information_technology,Technology,internet_software_&_services,YHOO
information_technology,Technology,networking_equipment,CSCO
information_technology,Technology,networking_equipment,FFIV
information_technology,Technology,networking_equipment,JNPR
industrials,Industrials,office_services_&_supplies,PBI
industrials,Industrials,human_resource_&_employment_services,RHI
industrials,Industrials,construction_&_engineering,GLW
industrials,Industrials,diversified_commercial_services,ADT
industrials,Industrials,diversified_commercial_services,FLR
industrials,Industrials,research_&_consulting_services,NLSN
industrials,Industrials,data_processing_services,DNB
industrials,Industrials,data_processing_services,IRM
industrials,Industrials,aerospace_&_defense,BA
industrials,Industrials,aerospace_&_defense,FLIR
industrials,Industrials,aerospace_&_defense,GD
industrials,Industrials,aerospace_&_defense,LMT
industrials,Industrials,aerospace_&_defense,NOC
industrials,Industrials,aerospace_&_defense,RTN
industrials,Industrials,railroads,CSX
industrials,Industrials,railroads,KSU
industrials,Industrials,railroads,NSC
industrials,Industrials,railroads,UNP
industrials,Industrials,airlines,AAL
industrials,Industrials,airlines,DAL
industrials,Industrials,airlines,LUV
industrials,Industrials,electrical_components_&_equipment,AME
industrials,Industrials,electrical_components_&_equipment,APH
industrials,Industrials,trucking,JBHT
industrials,Industrials,industrial_materials,GWW
industrials,Industrials,diversified_support_services,CTAS
industrials,Industrials,industrial_machinery,CMI
industrials,Industrials,industrial_machinery,DHR
industrials,Industrials,industrial_machinery,DOV
